player_id,draft_year,draft_pick
blandpi01,1982,194
dearbma01,1982,195
terryja02,1982,196
johnsga01,1982,197
morkeni01,1982,198
lyleske01,1982,199
searsde01,1982,200
obrieha01,1982,201
tatero01,1982,202
byrneti01,1982,203
meltoge01,1982,204
giannpa01,1982,205
walkedu01,1982,206
stovada01,1982,207
edwarmi03,1982,208
cultoal01,1982,209
estesro01,1982,210
leonajo01,1982,211
brittto01,1982,212
summecr01,1982,213
coultda01,1982,214
taylogr01,1982,215
mcadoro01,1982,216
sincldo01,1982,217
tuohyse01,1982,218
whielra01,1982,219
phillmi02,1982,220
wilkida01,1982,221
whiteke01,1982,222
coenebo01,1982,223
burkera01,1982,224
turnela01,1982,225
sampsra01,1983,1
stipast01,1983,2
mccraro01,1983,3
scottby01,1983,4
greensi02,1983,5
crossru01,1983,6
baileth01,1983,7
carran01,1983,8
ellisda01,1983,9
malonje01,1983,10
harpede01,1983,11
walkeda01,1983,12
whatlen01,1983,13
drexlcl01,1983,14
carteho01,1983,15
sundvjo01,1983,16
rautile01,1983,17
breuera01,1983,18
paxsojo01,1983,19
hinsoro01,1983,20
kitegr01,1983,21
wittmra01,1983,22
wiggimi01,1983,23
grangst01,1983,24
lowesi01,1983,25
combsle01,1983,26
garrijo01,1983,27
fostero01,1983,28
michela01,1983,29
westma01,1983,30
riverdo01,1983,31
brittmi02,1983,32
minnidi01,1983,33
willigu02,1983,34
lockhda01,1983,35
mccrasc01,1983,36
russeda02,1983,37
mcneach01,1983,38
waitegr01,1983,39
thomaji01,1983,40
kitchte01,1983,41
davismi06,1983,42
mannipa01,1983,43
owensho01,1983,44
willipa02,1983,45
willike01,1983,46
lyonske01,1983,47
ehlocr01,1983,48
jonesgr01,1983,49
thomppa01,1983,50
whittde01,1983,51
kingwi01,1983,52
holtomi01,1983,53
hansebo01,1983,54
santier01,1983,55
anderla02,1983,56
dayeda01,1983,57
pinonjo01,1983,58
kuczebr01,1983,59
harrist02,1983,60
littlda01,1983,61
piotrto01,1983,62
burnefr01,1983,63
rileycl01,1983,64
goodwbi01,1983,65
craftle01,1983,66
hordde01,1983,67
robincr01,1983,68
phillor01,1983,69
rulanda01,1983,70
browdda01,1983,71
fairte01,1983,72
jonesdw03,1983,73
wellska01,1983,74
creviro01,1983,75
arnoldo01,1983,76
thibepe01,1983,77
bouchst01,1983,78
martijo01,1983,79
gayda01,1983,80
kelleha01,1983,81
jonesma02,1983,82
grossyo01,1983,83
jacksmi04,1983,84
dunhati01,1983,85
debispe01,1983,86
minesba01,1983,87
nickema01,1983,88
moslesa01,1983,89
weidnbr01,1983,90
clarkca01,1983,91
lewiste01,1983,92
robincr02,1983,93
barnech01,1983,94
stiegro01,1983,95
loganch01,1983,96
bolma01,1983,97
andreti01,1983,98
hinesgr01,1983,99
clarkma01,1983,100
austike01,1983,101
lamplji01,1983,102
dixonro01,1983,103
jonesch05,1983,104
mikeltr01,1983,105
andrelo01,1983,106
braddja01,1983,107
monroga01,1983,108
watsobr01,1983,109
naullty01,1983,110
pettema01,1983,111
pehlje01,1983,112
lambri01,1983,113
reitzbo01,1983,114
dixonda02,1983,115
millimi01,1983,116
stackji01,1983,117
pruitcl01,1983,118
mclaume01,1983,119
toddru01,1983,120
patteer01,1983,121
gillifr01,1983,122
heywoto01,1983,123
perryde01,1983,124
allenbi02,1983,125
carrodo01,1983,126
betheto01,1983,127
simmsto01,1983,128
greengl01,1983,129
