method,horizon,age_bucket,n_total,rmse,mae,bias
carmelo-squared,1,36+,136,3.5121879373572327,2.81743066127768,-0.22853341960502768
carmelo-squared,1,<=23,2425,5.098895903274196,3.9906008331629423,-0.9830398325349073
carmelo-squared,2,24-27,2950,5.73254942994726,4.460630421347187,-0.7950546286011244
carmelo-squared,2,28-31,1913,5.259304193646831,4.145352090400472,-0.9833703861019741
carmelo-squared,2,32-35,661,4.477568707245355,3.4779766364876727,-0.8822450271353214
carmelo-squared,2,36+,45,4.877631049607243,3.781258836118123,0.7629681113781358
carmelo-squared,2,<=23,2180,6.522623483013415,5.131736630854997,-1.2445595763742632
carmelo-squared,3,24-27,2711,6.218021056026266,4.858046324508032,-0.9267037390561685
carmelo-squared,3,28-31,1596,5.796450730100046,4.511883322531933,-1.2130859920739891
carmelo-squared,3,32-35,460,4.813490314561855,3.763564169453074,-0.871499261131601
carmelo-squared,3,<=23,2024,7.37813115026543,5.8115655948953355,-1.330160294046568
carmelo-squared,4,24-27,2472,6.707434489950981,5.271226228907881,-0.878749505288773
carmelo-squared,4,28-31,1256,6.07928230996528,4.791865077790454,-1.5178708487897616
carmelo-squared,4,32-35,303,5.731546364479609,4.49818737445037,-0.8294257707088203
carmelo-squared,4,<=23,1896,7.923329504141687,6.240350429670721,-1.3527475086762724
carmelo-squared,5,24-27,2171,6.989970534021356,5.496701797272617,-0.9958179897910576
carmelo-squared,5,28-31,969,6.270510776111739,4.897471922016485,-1.7428550769124342
carmelo-squared,5,32-35,137,6.088456099711626,4.651168863156161,-1.0036484475059164
carmelo-squared,5,<=23,1752,8.224184936633772,6.439548390916244,-1.4855625792741447
