method,snapshot_year,horizon,age_bucket,n,rmse,mae,bias,std
carmelo-squared,2014,4,24-27,64,6.324719902831709,4.931607788281333,-2.1766220500813658,5.938383475355489
538-linear,2014,4,24-27,64,6.277421314066111,4.836641411411103,-2.148638465905348,5.89825152881118
538-squared,2014,4,24-27,64,6.261847517614869,4.814712431688372,-2.1123420070718195,5.894806661716676
SPS,2014,4,28-31,30,6.47206298611257,5.106772006815675,1.2514878968514558,6.349911600978605
carmelo-linear,2014,4,28-31,30,6.862568588683683,5.427163996175963,-2.2558559707770187,6.481200619753844
carmelo-squared,2014,4,28-31,30,6.882397459250346,5.450207188613101,-2.281991182132363,6.4930663812844065
538-linear,2014,4,28-31,30,6.557546653353627,5.383678331657335,-2.4876575160198895,6.067369956900528
538-squared,2014,4,28-31,30,6.483423408968045,5.299646838582945,-2.4345492715801615,6.008972370064897
SPS,2014,4,32-35,9,3.940845345875102,3.5730358141724685,1.5587794551777914,3.619456955155162
carmelo-linear,2014,4,32-35,9,3.7315972344289774,3.063858336804838,-0.4465349014140576,3.7047840020461553
carmelo-squared,2014,4,32-35,9,3.7726143399633374,3.0935904809612866,-0.4980474505820006,3.7395945896668765
538-linear,2014,4,32-35,9,3.5127910937224667,3.07354847738135,-0.9909595090107243,3.3701187693666093
538-squared,2014,4,32-35,9,3.57143604001913,3.1734864684760975,-1.0363878537130824,3.417755931107942
SPS,2014,4,<=23,65,8.23308061321721,6.327956479009983,-2.5237516652759022,7.836727245205756
carmelo-linear,2014,4,<=23,65,8.338461552813069,6.448016608315891,-2.501297541244046,7.954461118008449
carmelo-squared,2014,4,<=23,65,8.342457197265736,6.453128671729852,-2.508706196507869,7.956317320708991
538-linear,2014,4,<=23,65,8.250939715024487,6.3731884138505315,-2.635153182929901,7.8188217707953145
538-squared,2014,4,<=23,65,8.22571458904956,6.345046099628136,-2.6527379007651666,7.786229005773383
SPS,2014,5,24-27,52,5.978138565594684,4.573682100319251,-0.4367976084823695,5.96215972267387
carmelo-linear,2014,5,24-27,52,6.917119370319431,5.507823326353494,-3.1758053784981817,6.144981739692177
carmelo-squared,2014,5,24-27,52,6.920258434639897,5.503589569706576,-3.1785139312184305,6.147115257684289
538-linear,2014,5,24-27,52,6.996613118146139,5.561417183379496,-3.498579195066635,6.059087286123343
538-squared,2014,5,24-27,52,6.958543583050143,5.511077463369222,-3.4817692038426764,6.0248329444376365
SPS,2014,5,28-31,22,5.947256664096232,4.8105916701138876,0.8515295959828832,5.885979882381715
carmelo-linear,2014,5,28-31,22,7.146428039281005,5.318583422889306,-2.742617373268889,6.599203259823524
