method,snapshot_year,horizon,age_bucket,n,rmse,mae,bias,std
538-linear,2002,2,24-27,83,5.755052595022617,4.690903355521999,-0.3470124068728873,5.744581164972155
538-squared,2002,2,24-27,83,5.728312534344425,4.682583840149777,-0.24407469202707135,5.72311034629242
SPS,2002,2,28-31,41,4.19243109947881,3.1508889729127127,1.6405401650687184,3.8581221456394306
carmelo-linear,2002,2,28-31,41,4.0207560301028,3.3200914278386806,-0.7575055353751023,3.9487547932840936
carmelo-squared,2002,2,28-31,41,4.019943945042451,3.319556044373882,-0.7478411739700742,3.949769980618938
538-linear,2002,2,28-31,41,4.022086999644423,3.448798578647795,-1.2806764529231387,3.812748569685245
538-squared,2002,2,28-31,41,4.013064634767571,3.4697343394261577,-1.3274518250328375,3.7871571679875085
SPS,2002,2,32-35,23,4.51178815539692,3.723576396913549,2.2979520533083315,3.882737271549025
carmelo-linear,2002,2,32-35,23,3.918654793156409,3.239528670038834,0.05293031051608052,3.9182973049727057
carmelo-squared,2002,2,32-35,23,3.8822093323699716,3.220114026276052,0.04471313011893326,3.881951833335322
538-linear,2002,2,32-35,23,3.8664813637879982,3.1821781018707385,-0.2756550154532958,3.8566426395214974
538-squared,2002,2,32-35,23,3.7936482396028444,3.0721650946446943,-0.3972484855162233,3.7727921499331005
SPS,2002,2,36+,6,5.218152713770043,4.428312466206563,3.906627698530196,3.459389797247822
carmelo-linear,2002,2,36+,6,4.342837833877251,3.079173729338228,2.3327726710994736,3.6631150836858897
carmelo-squared,2002,2,36+,6,4.3194525727283395,3.030445188930623,2.2434692490113632,3.6911402380280625
538-linear,2002,2,36+,6,4.591965785872755,3.3989921444506366,1.659859721684038,4.2814735177222545
538-squared,2002,2,36+,6,4.980858550739432,3.3782631504545555,1.8853645888892065,4.610244274378176
SPS,2002,2,<=23,65,6.361335125660722,4.6308038810393795,-1.6138259478426662,6.153222764619743
carmelo-linear,2002,2,<=23,65,6.4181999123444236,4.712474677868367,-1.3268727601160917,6.279546065861757
carmelo-squared,2002,2,<=23,65,6.421942694919602,4.71770840435112,-1.3326751863972304,6.282143330455964
538-linear,2002,2,<=23,65,6.263959305676149,4.565181262091711,-1.2659007132944295,6.134711204877331
538-squared,2002,2,<=23,65,6.288162006741187,4.561241155946208,-1.2477521490607442,6.163123883026987
SPS,2002,3,24-27,80,5.569146740794693,4.36239567329226,0.29571194658038424,5.561290305779207
carmelo-linear,2002,3,24-27,80,5.905948021296776,4.524277074993961,-1.1179592602471895,5.799171416908356
carmelo-squared,2002,3,24-27,80,5.916473166364353,4.5306817075379255,-1.116390874941013,5.810191575383541
538-linear,2002,3,24-27,80,5.737065580154666,4.580381564133619,-1.0809239984611416,5.634316709286599
538-squared,2002,3,24-27,80,5.6913793681219484,4.5777320209562795,-1.0008626121958775,5.602684458667348
SPS,2002,3,28-31,39,5.777284261043611,4.765226689956708,3.150998894297601,4.842336151181319
carmelo-linear,2002,3,28-31,39,5.017898660434832,4.021826810029217,0.10815335960225128,5.016732982449875
carmelo-squared,2002,3,28-31,39,5.009335967754576,4.017985863971618,0.13509977191380346,5.0075138431629425
538-linear,2002,3,28-31,39,4.884719004677401,3.970391832465378,-0.300559350586976,4.8754634478612715
538-squared,2002,3,28-31,39,4.8757080774245845,3.9510740076150657,-0.2961782432784958,4.8667039877592515
SPS,2002,3,32-35,11,4.906358232139023,4.287800798062706,3.175053708781327,3.7405059882898604
carmelo-linear,2002,3,32-35,11,3.767268195788101,3.0490779673914337,0.6242021018697747,3.715196010309266
carmelo-squared,2002,3,32-35,11,3.759733165343479,3.0522249191782276,0.6011290692753911,3.71136596371953
538-linear,2002,3,32-35,11,4.066306198763945,3.1989519780834645,0.7939480312715127,3.9880437091067806
538-squared,2002,3,32-35,11,4.111782468571463,3.218078622905607,0.6786122964860205,4.055396456563724
SPS,2002,3,<=23,67,7.137535116919616,5.552260147919346,-2.5124433326831515,6.680721221942783
carmelo-linear,2002,3,<=23,67,7.211874045080542,5.57684089656226,-2.2980770386417486,6.83593220903879
carmelo-squared,2002,3,<=23,67,7.20380297054714,5.564824464026583,-2.2990753421375962,6.8270806212933115
538-linear,2002,3,<=23,67,7.168475143673933,5.645253796762523,-2.3244236584531976,6.781157020855222
538-squared,2002,3,<=23,67,7.194059987775191,5.685715841297105,-2.3268569385284383,6.8073662965445045
SPS,2002,4,24-27,77,7.018604058007342,5.224316080117042,1.166996645012038,6.920904691845408
carmelo-linear,2002,4,24-27,77,7.099380717408941,5.124133078035516,-0.9078181310711333,7.041098835523928
carmelo-squared,2002,4,24-27,77,7.093815657039358,5.126922818351428,-0.919485195550372,7.033972387720926
538-linear,2002,4,24-27,77,7.2545249367810705,5.1872192787335,-0.6916055147368257,7.221482802746539
538-squared,2002,4,24-27,77,7.255661377867271,5.174099883675539,-0.5168431267262343,7.237229802391977
SPS,2002,4,28-31,30,5.888166873393199,4.754787566881246,3.9858459338805385,4.333998306447871
carmelo-linear,2002,4,28-31,30,4.463406458156344,3.7273781274015443,0.6705593592186445,4.412748277035077
carmelo-squared,2002,4,28-31,30,4.472004536900289,3.7288454082061566,0.6781546727001756,4.420286282352273
538-linear,2002,4,28-31,30,4.186728816996551,3.442548908831969,0.3465215864403268,4.172363955505346
538-squared,2002,4,28-31,30,4.107351664231341,3.4518479012722145,0.4392542268232507,4.083796446675798
SPS,2002,4,32-35,10,7.129845236973538,5.9639083756370335,4.2908477280524755,5.694147774501566
carmelo-linear,2002,4,32-35,10,6.5047908882863865,5.26061549892789,2.8411116249486725,5.85152879467538
carmelo-squared,2002,4,32-35,10,6.584617367176305,5.329407276067732,2.86680451288873,5.927783545052959
538-linear,2002,4,32-35,10,6.5361607067381815,5.135591714722159,2.3436587229565427,6.101529363579091
538-squared,2002,4,32-35,10,6.494806660813094,5.167879060468058,2.0809054889901026,6.152426018021914
SPS,2002,4,<=23,66,6.69369706884357,5.061610500042089,-1.2749586999673201,6.571153685831936
carmelo-linear,2002,4,<=23,66,6.883523132111448,5.20144956394344,-1.3296698533725488,6.753878055705895
carmelo-squared,2002,4,<=23,66,6.876779560307487,5.19447378475299,-1.318531233666168,6.7491905075282626
538-linear,2002,4,<=23,66,6.823160237771114,5.304735233487204,-1.4271713972355076,6.6722333167548635
538-squared,2002,4,<=23,66,6.887238967202582,5.379541441961313,-1.4520502834708828,6.732429766854298
SPS,2002,5,24-27,70,7.354096120716762,5.9213398472540035,2.0661126581148372,7.057896870649144
carmelo-linear,2002,5,24-27,70,7.183365860509858,5.394418796019843,-0.3572698926726719,7.174475821251905
carmelo-squared,2002,5,24-27,70,7.188428054461314,5.39768578303132,-0.3696474612062263,7.178917651609487
538-linear,2002,5,24-27,70,7.141251850897868,5.525955773509513,-0.5211476344624713,7.122210551580625
538-squared,2002,5,24-27,70,7.0541103281638495,5.518939733556443,-0.40489581615206516,7.042480521802701
SPS,2002,5,28-31,20,5.8790100603987865,4.898076923661249,3.7414235803536515,4.534810787965008
carmelo-linear,2002,5,28-31,20,4.506660392448753,3.6826534228103194,0.06307442257932445,4.506218981594506
carmelo-squared,2002,5,28-31,20,4.5149274864518745,3.662557356968376,0.07941869036072954,4.51422893521585
538-linear,2002,5,28-31,20,4.517827539624938,3.5024659482766536,0.1088994077811476,4.516514872861423
538-squared,2002,5,28-31,20,4.503661503613696,3.669963571329576,0.2056718883941035,4.498962770845784
SPS,2002,5,32-35,7,5.388598160413723,4.477638069056874,4.27580444043892,3.2794033788994272
carmelo-linear,2002,5,32-35,7,6.438139830785478,5.486993710323747,3.595810278487313,5.340392581250132
carmelo-squared,2002,5,32-35,7,6.523867648891705,5.486977130168363,3.752016610622148,5.33696734614999
538-linear,2002,5,32-35,7,5.395068456892851,4.376284587862839,3.367993949507978,4.21466255003148
538-squared,2002,5,32-35,7,5.8215284774298945,4.601655594023675,3.2349177707475123,4.83998975515746
SPS,2002,5,<=23,54,7.102161951159734,4.9961702828079115,-0.9618386871382337,7.036730115644995
carmelo-linear,2002,5,<=23,54,7.301477879503066,5.255295884681176,-1.2946013874838462,7.185790594805661
carmelo-squared,2002,5,<=23,54,7.312646661480618,5.257005632879441,-1.281606461557267,7.199464290720406
538-linear,2002,5,<=23,54,7.197940332872907,5.25053500224296,-1.3458037269964498,7.07100822825154
538-squared,2002,5,<=23,54,7.282244298807101,5.3560459743114395,-1.3336903243096405,7.159074810780466
SPS,2003,1,24-27,91,5.257243073119408,4.375623966483386,-0.14790615827473377,5.255162081059576
carmelo-linear,2003,1,24-27,91,5.230935620452544,4.315746726478565,-0.46043000219470337,5.210632560294212
carmelo-squared,2003,1,24-27,91,5.227262888600289,4.312952930254325,-0.4577673447760276,5.207180270030466
538-linear,2003,1,24-27,91,5.193473762631258,4.2791695248805555,-0.6141932745675734,5.157027859592697
538-squared,2003,1,24-27,91,5.17677870962757,4.276372537117494,-0.5919834870733005,5.142819592352607
SPS,2003,1,28-31,49,3.988581130025994,3.107242323676383,1.3788502073588194,3.742666367239535
carmelo-linear,2003,1,28-31,49,3.7474170518902463,3.051477321326922,-0.27138143135078624,3.7375776486269534
carmelo-squared,2003,1,28-31,49,3.751170687161292,3.0571971736313155,-0.26842261023430053,3.7415546002341222
538-linear,2003,1,28-31,49,3.7016258381145275,3.0353639187776777,-0.5461360787612727,3.661115844776335
538-squared,2003,1,28-31,49,3.6736226223814814,3.012873779419033,-0.5416307498921441,3.633474824798469
SPS,2003,1,32-35,28,3.632940602645246,2.9390287205301306,1.5960428678800602,3.263572365711782
carmelo-linear,2003,1,32-35,28,3.396702377980116,2.7071865447283345,-0.4701046127603715,3.364013777860786
carmelo-squared,2003,1,32-35,28,3.4081361834909027,2.710170978305998,-0.49135273698721676,3.3725309091356164
538-linear,2003,1,32-35,28,3.23144770382018,2.556934100677792,-0.5297623383378551,3.1877274236363937
538-squared,2003,1,32-35,28,3.219979658361348,2.530626458091359,-0.5589088437313229,3.1711023169648405
SPS,2003,1,36+,9,3.290093684503934,2.2758165818581086,2.009146698703776,2.605387878205545
carmelo-linear,2003,1,36+,9,2.8149427203213246,2.3141033460688556,0.020873059053151326,2.8148653314316445
carmelo-squared,2003,1,36+,9,2.8398830136850672,2.31865076286041,0.06116426618024216,2.8392242715149525
538-linear,2003,1,36+,9,2.8613136977542637,2.5362654679858188,-0.951234125172066,2.698568086238387
538-squared,2003,1,36+,9,3.0855391835233927,2.697473512198984,-0.9130648843357287,2.9473487357371178
SPS,2003,1,<=23,65,6.032405699499352,4.728046197066353,-2.0916928898794187,5.65815688875628
carmelo-linear,2003,1,<=23,65,5.9054284520569755,4.604399059779794,-1.5934993670317983,5.6863736220576735
carmelo-squared,2003,1,<=23,65,5.91233962378208,4.607879561220327,-1.5979950243568242,5.692290552060257
538-linear,2003,1,<=23,65,5.861790873695346,4.606745990564214,-1.5848945791857771,5.643465373315016
538-squared,2003,1,<=23,65,5.871999437674107,4.638006892418881,-1.5877631746888652,5.653263260909311
SPS,2003,2,24-27,83,5.554904144219117,4.408459352477793,-0.8459531506667186,5.4901114121973675
carmelo-linear,2003,2,24-27,83,5.6787770459488724,4.340110608916806,-1.7009513606686446,5.418050683247185
carmelo-squared,2003,2,24-27,83,5.675411210387032,4.335499463039503,-1.6887168680436488,5.418351017290374
538-linear,2003,2,24-27,83,5.560059769589772,4.298600272445703,-1.8620255407328514,5.239000432054687
538-squared,2003,2,24-27,83,5.522248393429643,4.279299351641011,-1.827448612489703,5.211109180150204
SPS,2003,2,28-31,50,6.027372472583428,5.00093758984943,1.7918015676197334,5.7548819332399805
carmelo-linear,2003,2,28-31,50,5.697592638708471,4.634283042467397,-0.704547713674192,5.65386366972369
carmelo-squared,2003,2,28-31,50,5.688940656795254,4.627962461545316,-0.7033389408571225,5.645295398011693
538-linear,2003,2,28-31,50,5.733099498467226,4.6266150179072945,-1.1416013353464622,5.618289441677096
538-squared,2003,2,28-31,50,5.699999028495845,4.58506550991181,-1.1441698819059476,5.583982826459347
SPS,2003,2,32-35,17,4.840240026996007,4.174417281777322,3.6824433795568097,3.141263165558169
carmelo-linear,2003,2,32-35,17,3.672823708316617,2.8432385080844402,1.3632363792114803,3.410457530415384
carmelo-squared,2003,2,32-35,17,3.6808556670892014,2.8286926761118742,1.3472243147004586,3.4254466990193517
538-linear,2003,2,32-35,17,3.2650615339917564,2.6718461672982348,1.1073944323818523,3.071531278024412
538-squared,2003,2,32-35,17,3.211422714644301,2.6593212149121426,1.0578711132769174,3.0321847832590327
SPS,2003,2,<=23,61,6.608963764626316,5.2191160677317034,-2.555440216052366,6.094926360861621
carmelo-linear,2003,2,<=23,61,6.46251368403881,5.184357414800885,-1.9033533017525217,6.1758666861499405
carmelo-squared,2003,2,<=23,61,6.4531751276801845,5.181331877116166,-1.9077900418584346,6.164722733805305
538-linear,2003,2,<=23,61,6.351148871279579,5.131651374753515,-2.0771757978639216,6.001869099699214
538-squared,2003,2,<=23,61,6.328436146501279,5.10648734984083,-2.1556689613659255,5.949974402411115
SPS,2003,3,24-27,87,5.670894290088346,4.267666448529638,0.4233495532844392,5.655070044224959
carmelo-linear,2003,3,24-27,87,5.656589581162094,4.1527878006154015,-0.9400389552610522,5.5779326324636855
carmelo-squared,2003,3,24-27,87,5.652022943461271,4.150599648098674,-0.9341757791096653,5.574287305758242
538-linear,2003,3,24-27,87,5.549428610505924,4.12221338221022,-1.177751395378259,5.423012037031291
538-squared,2003,3,24-27,87,5.49105524524534,4.089168429668024,-1.1133052124977492,5.37701024828498
SPS,2003,3,28-31,39,6.674385012478364,5.6242411696788865,3.191553232069108,5.861860051354436
carmelo-linear,2003,3,28-31,39,5.739427531652796,4.56213931966665,0.2625366463145633,5.733419825936
carmelo-squared,2003,3,28-31,39,5.73438651197539,4.555268837185911,0.2726064106556737,5.72790314282589
538-linear,2003,3,28-31,39,5.732675198074888,4.51255881661208,-0.2637369350065397,5.7266052557982645
538-squared,2003,3,28-31,39,5.689561000112649,4.477420178746313,-0.23802285243547908,5.684579975312277
SPS,2003,3,32-35,11,5.868641003671086,4.746618435819413,3.7436913950831827,4.51948248899691
carmelo-linear,2003,3,32-35,11,4.6788462318912964,3.445882663430817,1.5071347746170025,4.429463492661785
carmelo-squared,2003,3,32-35,11,4.704448841781562,3.470407893267868,1.4730279148954084,4.467888502064343
538-linear,2003,3,32-35,11,4.767350922908849,3.437752671927015,1.3466446071887497,4.573202720642211
538-squared,2003,3,32-35,11,4.801927881309219,3.5035629799156625,1.2634377103305923,4.6327353182984075
SPS,2003,3,<=23,55,6.681216907253021,5.384739452668124,-2.810563546516127,6.061302823053665
carmelo-linear,2003,3,<=23,55,6.698445463765554,5.4156240803951805,-2.3246799604094583,6.2821202402303635
carmelo-squared,2003,3,<=23,55,6.689267974432259,5.411339496685671,-2.310499941694448,6.2775708720169
538-linear,2003,3,<=23,55,6.50263082540875,5.345445872781968,-2.4695141845724007,6.015455705410173
538-squared,2003,3,<=23,55,6.4609148520666935,5.306990520808663,-2.5310800600652708,5.944497830363468
SPS,2003,4,24-27,74,6.619879190716593,5.072025404119587,2.347764392043426,6.1895721063039195
carmelo-linear,2003,4,24-27,74,6.269450498755102,4.725896690309659,0.6363051102068317,6.237076668044514
carmelo-squared,2003,4,24-27,74,6.27818991716402,4.737817705186431,0.6520450685954984,6.244237812936039
538-linear,2003,4,24-27,74,5.980840157393981,4.613010775837413,0.07288714563249425,5.980396011327176
538-squared,2003,4,24-27,74,5.96432215855486,4.624637121648135,0.08885959329798933,5.963660183453398
SPS,2003,4,28-31,31,7.041886587494049,5.559519898128886,3.0808634921649913,6.332175522975773
carmelo-linear,2003,4,28-31,31,6.246176316660869,4.59501983338432,0.07835316042021005,6.245684859250209
carmelo-squared,2003,4,28-31,31,6.22981135662895,4.582496660805658,0.10384541922183124,6.228945791070082
538-linear,2003,4,28-31,31,6.510634226315166,4.806814460466038,-0.6199630437191194,6.481049595033895
538-squared,2003,4,28-31,31,6.502089605674656,4.789568957253398,-0.6668857863497073,6.467799671309181
SPS,2003,4,32-35,7,5.5188594411285266,4.303411918706902,4.303411918706902,3.455206996529275
carmelo-linear,2003,4,32-35,7,3.785160727502856,2.4478725357841205,2.0128836699714348,3.20557967678114
carmelo-squared,2003,4,32-35,7,3.8062621325901236,2.562187354243806,1.9455221561289544,3.271479017508878
538-linear,2003,4,32-35,7,3.8497059384993744,2.8688113474674606,1.9835843789453587,3.29933763421104
538-squared,2003,4,32-35,7,3.786740097734598,2.8313529728243165,1.7697320309963085,3.3477528442608655
SPS,2003,4,<=23,54,6.417765185945975,5.0063879873916,-2.49099869731756,5.914612030547937
carmelo-linear,2003,4,<=23,54,6.46536167565814,5.045256095879604,-2.3737762967792597,6.013824713933552
carmelo-squared,2003,4,<=23,54,6.461727938487167,5.048660320073833,-2.3673387561697345,6.012456666335514
538-linear,2003,4,<=23,54,6.245122869995469,4.984582822489419,-2.555234641556132,5.698450279499852
538-squared,2003,4,<=23,54,6.228770531704846,4.9769681593893145,-2.554458002439056,5.680873757654691
SPS,2003,5,24-27,62,6.5039908386638245,5.2908447805292855,1.1247772142813859,6.405995086452718
carmelo-linear,2003,5,24-27,62,6.7565211348214245,5.11448472006658,-1.4153870824966714,6.6066070907834495
carmelo-squared,2003,5,24-27,62,6.755554220997996,5.11459483628309,-1.4127828095574777,6.606175714122559
538-linear,2003,5,24-27,62,6.489668747461382,4.981951766922459,-1.78375523518152,6.239712951149234
538-squared,2003,5,24-27,62,6.419525479780358,4.967312417666579,-1.6907255408875015,6.192879340899505
SPS,2003,5,28-31,18,8.913082249851639,7.25439354476192,3.5059554986966837,8.19459036400105
carmelo-linear,2003,5,28-31,18,8.32911275153536,6.504649454849375,0.582953627449194,8.308687278748236
carmelo-squared,2003,5,28-31,18,8.33221537906924,6.5081254370641615,0.6274408763126201,8.308557700944851
538-linear,2003,5,28-31,18,8.252107628827055,6.463922823074664,-0.40772363495104336,8.242028982917251
538-squared,2003,5,28-31,18,8.24082913319765,6.4589173762743775,-0.5523850277865877,8.222295031415277
SPS,2003,5,<=23,49,7.401208680808968,6.466920206637651,-3.3266357204243118,6.611458592510357
carmelo-linear,2003,5,<=23,49,7.56915211470243,6.554815483862064,-3.512561235075449,6.704772725853539
carmelo-squared,2003,5,<=23,49,7.572201027970599,6.557891767741501,-3.506650495376781,6.71130618518279
538-linear,2003,5,<=23,49,7.425007775085308,6.494284900230307,-3.7475398505723225,6.409889665856164
538-squared,2003,5,<=23,49,7.444225329418189,6.485198386973073,-3.7858455859679454,6.4096695667061026
SPS,2004,1,24-27,89,4.620967084368951,3.5606424026771224,-1.459907421392925,4.384290947893758
carmelo-linear,2004,1,24-27,89,4.71274733093721,3.642121563511807,-1.7494575757247244,4.376001096434411
carmelo-squared,2004,1,24-27,89,4.715801164934288,3.642173208541058,-1.7399780972477075,4.383064778017072
538-linear,2004,1,24-27,89,4.695098662924784,3.6128822711636692,-1.821139713498506,4.327516793556863
538-squared,2004,1,24-27,89,4.6859151995163035,3.6118240938764394,-1.7851695453628178,4.332547859097119
SPS,2004,1,28-31,54,4.456918224874946,3.52260969650085,0.6946330273022783,4.402454431405657
carmelo-linear,2004,1,28-31,54,4.524483402760228,3.7176580824021594,-0.7945926752858931,4.454163506454918
carmelo-squared,2004,1,28-31,54,4.52715394501369,3.7182477309291473,-0.7879376757751113,4.458057543476434
538-linear,2004,1,28-31,54,4.477885221958639,3.6935943387241337,-0.9904772897762703,4.366968147293157
538-squared,2004,1,28-31,54,4.428467041362293,3.6431873747536256,-0.9628743404166139,4.322521641472645
SPS,2004,1,32-35,21,4.426599412448854,3.5992259829371553,3.1317936083386475,3.1283623755987304
carmelo-linear,2004,1,32-35,21,3.224179100395924,2.540660891766418,0.8490907370102986,3.110365861398491
carmelo-squared,2004,1,32-35,21,3.2079310650991073,2.537068635262365,0.8401539386900245,3.09595915311096
538-linear,2004,1,32-35,21,3.4158451436740385,2.7943216728556663,1.1319579411034892,3.2228355938729267
538-squared,2004,1,32-35,21,3.4639839576830154,2.8395172202294994,1.1597343095837676,3.2640773872963784
SPS,2004,1,36+,5,2.443489885294051,2.14483595007614,0.7417063277902514,2.3281998502813783
carmelo-linear,2004,1,36+,5,2.455435728180312,1.852795044162269,-1.3722655162986033,2.0361856418318314
carmelo-squared,2004,1,36+,5,2.4697988681928336,1.8709354639703855,-1.39653113507551,2.037058476846285
538-linear,2004,1,36+,5,3.356174749309954,2.7161156885682614,-1.829866330928264,2.813449512403033
538-squared,2004,1,36+,5,3.1547723141428503,2.582471612507495,-1.6664034496921325,2.6787474492636285
SPS,2004,1,<=23,76,4.937024467839339,3.8639995272822656,-2.0229284802627228,4.503550927855292
carmelo-linear,2004,1,<=23,76,4.7986311897656435,3.754637061183545,-1.6066288011301864,4.5216816772933734
carmelo-squared,2004,1,<=23,76,4.80391961638262,3.758761955201825,-1.6070308377006017,4.527150932688796
538-linear,2004,1,<=23,76,4.840642989230687,3.793223899611415,-1.6961609201990195,4.533747090650052
538-squared,2004,1,<=23,76,4.851524120360042,3.8061004466536175,-1.7150437628968673,4.538271827665663
SPS,2004,2,24-27,88,4.559346858747005,3.6484517499957945,0.11927652542648523,4.5577864022843775
carmelo-linear,2004,2,24-27,88,4.5433269817191215,3.5581026850947457,-0.6690114560504368,4.4938005890882895
carmelo-squared,2004,2,24-27,88,4.554750610605964,3.5648932419828516,-0.6547398566357344,4.507445933668869
538-linear,2004,2,24-27,88,4.544751370830411,3.640508081370095,-0.7849278658192117,4.476455435735443
538-squared,2004,2,24-27,88,4.536801659102646,3.6511294865253645,-0.7233278732188965,4.47876836662281
SPS,2004,2,28-31,44,5.443502738778777,4.665787950600542,1.6577246037234217,5.1849465961861245
carmelo-linear,2004,2,28-31,44,5.286805645756413,4.240616677506355,-0.5290287490773355,5.26027019445309
carmelo-squared,2004,2,28-31,44,5.300439943156809,4.261224753546559,-0.5304794539385197,5.273827371080822
538-linear,2004,2,28-31,44,5.183021781991569,4.149514222966449,-0.9048480472003363,5.103426770717573
538-squared,2004,2,28-31,44,5.123870641131236,4.125055982152727,-0.8253347129726717,5.056962819579451
SPS,2004,2,32-35,20,5.565750944440193,4.517393120585937,3.6968386087133367,4.160645127460805
carmelo-linear,2004,2,32-35,20,4.150940676401883,3.1159622697966762,1.1764173430222242,3.980747509456516
carmelo-squared,2004,2,32-35,20,4.177635863921941,3.1528081513861714,1.196065460358377,4.002757652677029
538-linear,2004,2,32-35,20,4.336881872977613,3.3923613744033823,1.5241129679152379,4.060249258505494
538-squared,2004,2,32-35,20,4.338886490544179,3.3862850842834873,1.50001437742863,4.07135024842302
SPS,2004,2,<=23,64,6.52898140240194,5.005330290197425,-3.0975549817361276,5.747412573326549
carmelo-linear,2004,2,<=23,64,6.4478026522718945,4.962518338094242,-2.704980947603212,5.852968231226623
carmelo-squared,2004,2,<=23,64,6.448160679928225,4.954949436414216,-2.7059620385785745,5.852909156987158
538-linear,2004,2,<=23,64,6.456893289714542,4.9213480461034305,-2.8761983098834882,5.780912924182828
538-squared,2004,2,<=23,64,6.462708061784314,4.905373846369599,-2.922579656822775,5.764123839871732
SPS,2004,3,24-27,77,5.147377210776269,4.179669819511664,1.1429686604935358,5.018875849345997
carmelo-linear,2004,3,24-27,77,4.805794074844246,3.773986486702841,-0.2998726367565124,4.796429202180802
carmelo-squared,2004,3,24-27,77,4.81382484098938,3.7855284366478625,-0.29919181431187875,4.804518067192088
538-linear,2004,3,24-27,77,4.8144014081686635,3.822996514120155,-0.4719933824216164,4.79120894617701
538-squared,2004,3,24-27,77,4.797141422567042,3.832352221667975,-0.4191516342181734,4.778794590233062
SPS,2004,3,28-31,37,5.936664345779897,4.808177341815258,2.088971450259626,5.5569939566688795
carmelo-linear,2004,3,28-31,37,5.69924077104501,4.2581842500249465,-0.6120017753138937,5.666286190562065
carmelo-squared,2004,3,28-31,37,5.715078179557676,4.285304801919805,-0.5973319637847753,5.683776308362013
538-linear,2004,3,28-31,37,5.736757252971421,4.2680311511859035,-1.0202517157279394,5.645305148180601
538-squared,2004,3,28-31,37,5.711047378015417,4.2619377235071685,-0.9617495236954502,5.629484879419105
SPS,2004,3,32-35,14,5.0132050044173715,3.91973853211782,3.576279843739248,3.5131818762454863
carmelo-linear,2004,3,32-35,14,3.4101228648218456,2.6882306211073237,1.1361877005724001,3.215278442413464
carmelo-squared,2004,3,32-35,14,3.4446226742003883,2.703853042054534,1.1185517771674052,3.257954463986732
538-linear,2004,3,32-35,14,3.947326137820663,2.991544569277901,1.387856982277634,3.6952992619090286
538-squared,2004,3,32-35,14,3.922836631592963,2.9924965451214844,1.2610990523295758,3.714603130669691
SPS,2004,3,<=23,67,7.195522770464328,5.753572474470043,-2.7952970882581294,6.630374207286213
carmelo-linear,2004,3,<=23,67,7.1181471063265915,5.703031003892362,-2.4999585710412653,6.664699946012794
carmelo-squared,2004,3,<=23,67,7.12414600222054,5.711928692958124,-2.4978974227518687,6.671878650452545
538-linear,2004,3,<=23,67,7.129917226407575,5.6850254956835045,-2.7143402580608407,6.593032429686185
538-squared,2004,3,<=23,67,7.146394909505288,5.6878232553819155,-2.7394815613646464,6.600469754308872
SPS,2004,4,24-27,66,6.07411327828089,5.008298913288042,0.7632801519355745,6.025965111668788
carmelo-linear,2004,4,24-27,66,5.956981884662889,4.823294098977128,-1.4238981130131814,5.784301802115734
carmelo-squared,2004,4,24-27,66,5.965769759872336,4.837898712853902,-1.4222612105113912,5.793753694875362
538-linear,2004,4,24-27,66,5.990096118410822,4.8689351738698,-1.468509781380778,5.807299762349916
538-squared,2004,4,24-27,66,5.985787437834434,4.90746429912646,-1.3683281571321273,5.8272917642191135
SPS,2004,4,28-31,27,7.104918977646572,5.747688617894652,1.8134526511306983,6.869589737460997
carmelo-linear,2004,4,28-31,27,7.064668176353908,5.0599285127287965,-1.3799506189516066,6.928583746426303
carmelo-squared,2004,4,28-31,27,7.052640927493851,5.062280555419362,-1.3807366917678854,6.916162970908595
538-linear,2004,4,28-31,27,7.180694744292358,5.26079638673309,-1.7035417467572416,6.975695128642248
538-squared,2004,4,28-31,27,7.07335668893707,5.174248525219603,-1.6298435052298696,6.8830215020288
SPS,2004,4,32-35,8,4.667506590339186,3.755992343087619,3.598648046986297,2.972431665283737
carmelo-linear,2004,4,32-35,8,3.2310828038897514,2.51761003447709,1.1402651880585086,3.0231922509979334
carmelo-squared,2004,4,32-35,8,3.1980043109905267,2.4769338196911512,1.0074268964863073,3.03518082185394
538-linear,2004,4,32-35,8,3.275454916961055,2.4868189881827503,1.1318995216256258,3.073663674833021
538-squared,2004,4,32-35,8,3.2757494072446423,2.4673126940368366,1.0343396255755741,3.108162756038977
SPS,2004,4,<=23,60,7.269089459254663,5.565481711719622,-2.7069814615043097,6.746251769221131
carmelo-linear,2004,4,<=23,60,7.2291106681330755,5.5351966681737315,-2.739791121960294,6.689812079583625
carmelo-squared,2004,4,<=23,60,7.236893748977066,5.540437397157918,-2.7440905448611375,6.696461619063239
538-linear,2004,4,<=23,60,7.352555684559531,5.688795852247053,-2.8560394338826187,6.775183676230196
538-squared,2004,4,<=23,60,7.392807454532366,5.741638983895098,-2.8860273209137843,6.806206605939062
SPS,2004,5,24-27,60,6.270981112765843,5.086850552782314,2.096901308881123,5.910009223129737
carmelo-linear,2004,5,24-27,60,5.766085432489612,4.447931482367054,-0.3558328842470965,5.755095496449846
carmelo-squared,2004,5,24-27,60,5.761593849436188,4.44711853968435,-0.34807273862355603,5.751070252960574
538-linear,2004,5,24-27,60,5.861528235874649,4.600686400471379,-0.5301525202058085,5.837503881392732
538-squared,2004,5,24-27,60,5.900835050894893,4.615248949941848,-0.4420066812086665,5.884257335606306
SPS,2004,5,28-31,18,5.258728857423069,4.355274020951487,-0.31675535345133105,5.249180435263591
